electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,municipality_code,postcode,address,canton,commissioning_date,contract_period_end,company,tariff,project_name,production
0.0055,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.561,46.873,Münsingen,3110,3110.0,,BE,2010-11-29,2035-12-31,Natural person,3789.6200000000003,Natural person,6.162
0.0106,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4581,46.999,Zollikofen,3052,3052.0,,BE,2010-11-29,2035-12-31,Natural person,8774.189999999999,Natural person,12.003
0.00683,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3115,47.4871,Nussbaumen,5415,5415.0,,AG,2010-11-29,2035-12-31,Natural person,4758.629999999999,Natural person,6.448
0.0034,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.8288,47.4531,Thürnen,4441,4441.0,,BL,2010-11-29,2035-12-31,Natural person,2078.69,Natural person,3.38
0.0026,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.7583,47.3051,Gossau,8625,8625.0,,ZH,2010-11-29,2035-12-31,Natural person,1707.7300000000002,Natural person,2.314
0.0083,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2458,47.3492,Villmergen,5612,5612.0,,AG,2010-11-29,2035-12-31,Natural person,4781.620000000001,Natural person,7.775
0.0143,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,9.0197,47.6739,Berlingen,8267,8267.0,,TG,2010-11-30,2035-12-31,Natural person,7830.889999999999,Natural person,11.203
0.0072,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2421,47.2948,Fahrwangen,5615,5615.0,,AG,2010-11-30,2035-12-31,Natural person,4515.32,Natural person,7.342
0.0452,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.8334,47.275,Fulenbach,4629,4629.0,Fahrweg 8,SO,2010-11-30,2035-12-31,Stefan Wyss,29305.230000000003,PV Wyss Fulenbach - Wohnhaus,47.5734
0.0211,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.8147,46.1777,Minusio,6648,6648.0,,TI,2010-11-30,2035-12-31,Juridical person,14528.070000000002,Juridical person,25.602
0.0107,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.3841,46.2594,Grimisuat,1971,1971.0,,VS,2010-11-30,2035-12-31,Natural person,4993.33,Natural person,10.87875
0.00744,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.6377,46.9902,Seewis Dorf,7212,7212.0,,GR,2010-11-30,2035-12-31,Natural person,3282.77,Natural person,5.33785
0.11239,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.6667,46.9849,Fanas,7215,7215.0,Kapitelhofstrasse,GR,2010-11-30,2035-12-31,Valentin Sutter,63343.04000000001,PV Valentin Sutter Fanas,146.627392
0.0107,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.8664,46.6839,Matten bei Interlaken,3800,3800.0,,BE,2010-11-30,2035-12-31,Juridical person,4909.11,Juridical person,10.512
0.0025,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4474,46.9481,Bern,3006,3006.0,,BE,2010-11-30,2035-12-31,Juridical person,684.12,Juridical person,0.927
0.004,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.5667,46.95,Landquart,7302,7302.0,,GR,2010-11-30,2035-12-31,Natural person,3215.42,Natural person,4.356949999999999
0.0035,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0995,47.5085,Elfingen,5077,5077.0,,AG,2010-12-01,2035-12-31,Natural person,2094.69,Natural person,3.406
4.6,Renewable energy,Wind,,Onshore,BFE,CH0,CH02,CH025,7.0079,47.21100000000001,Le Peuchapatte,2345,2345.0,Le Peuchapatte ,JU,2010-12-01,2030-12-31,Eole Jura SA,613522.2600000001,Eolienne 3 de Le Peuchapatte,4539.407006
2.3,Renewable energy,Wind,,Onshore,BFE,CH0,CH02,CH025,7.0079,47.21100000000001,Le Peuchapatte,2345,2345.0,Le Peuchapatte,JU,2010-12-01,2030-12-31,Eole Jura SA,654530.4700000001,Eolienne 2 de Le Peuchapatte,3960.203
0.0035,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.929,46.0069,Breganzona,6932,6932.0,,TI,2010-12-01,2035-12-31,Natural person,1806.25,Natural person,2.937
0.3696,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.5631,46.9298,Worb SBB,3076,3076.0,Rütimoosstrasse 5,BE,2010-12-01,2035-12-31,Viessmann (Schweiz) AG,166929.68,PV Viessmann (Schweiz) AG,336.1488
0.0118,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.5775,46.8501,Wichtrach,3114,3114.0,,BE,2010-12-01,2035-12-31,Natural person,8230.649999999998,Natural person,13.649479000000001
2.3,Renewable energy,Wind,,Onshore,BFE,CH0,CH02,CH025,7.0079,47.21100000000001,Le Peuchapatte,2345,2345.0,Le Peuchapatte,JU,2010-12-01,2030-12-31,Eole Jura SA,654100.6300000001,Eolienne 1 de Le Peuchapatte,3947.454006
0.0046,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3644,47.4421,Würenlos,5436,5436.0,,AG,2010-12-02,2035-12-31,Juridical person,2234.29,Juridical person,3.633
0.03,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.6195,47.1985,Subingen,4553,4553.0,Unterfeld 1,SO,2010-12-02,2035-12-31,Hanspeter Stalder,17739.11,PV Hanspeter Stalder Subingen,31.676966999999998
0.0717,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6982,47.1437,Riedtwil,3475,3475.0,Hauptstrasse 43,BE,2010-12-02,2035-12-31,Landi Riedtwil Genossenschaft,34105.55,PV Landi Riedtwil Genossenschaft K1028LR-PV,69.23881
0.0094,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0364,47.2919,Staffelbach,5053,5053.0,,AG,2010-12-02,2035-12-31,Natural person,7070.560000000002,Natural person,9.580706999999999
0.006,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.778,46.4821,Chexbres,1071,1071.0,,VD,2010-12-03,2035-12-31,Natural person,5285.5599999999995,Natural person,7.162
0.0298,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.6872,46.9697,Schiers,7220,7220.0,,GR,2010-12-03,2035-12-31,Natural person,20244.690000000002,Natural person,36.08681
0.00515,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.9781,46.2927,Ollon,1867,1867.0,,VD,2010-12-03,2035-12-31,Natural person,3341.91,Natural person,5.434
0.03,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH01,CH012,7.8827,46.2294,Staldenried,3933,3933.0,Zer Chirchu 58,VS,2010-12-03,2035-12-31,Gemeinde Staldenried,57133.85,TWKW Brummatta Staldenried -Furrerhaus,181.578975
0.027,Renewable energy,Hydro,,Other or unspecified technology,BFE,CH0,CH05,CH056,10.0582,46.3244,Poschiavo,7742,7742.0,,GR,2010-12-03,2035-12-31,Natural person,43447.77,Natural person,146.784
0.0096,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.1085,46.7737,Waltensburg,7158,7158.0,,GR,2010-12-03,2035-12-31,Natural person,8565.06,Natural person,11.60578
0.00666,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6378,46.9067,Grosshöchstetten,3506,3506.0,,BE,2010-12-05,2035-12-31,Natural person,4253.33,Natural person,6.916
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2087,47.481,Brugg,5200,5200.0,,AG,2010-12-06,2035-12-31,Natural person,3311.3999999999996,Natural person,4.487
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.4508,46.8348,Domat/Ems,7013,7013.0,,GR,2010-12-06,2035-12-31,Natural person,3548.55,Natural person,5.77
0.0308,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6191,47.0537,Burgdorf,3401,3401.0,Buchmattstrasse 11,BE,2010-12-07,2035-12-31,Allinfo AG,20311.940000000006,PV Allinfo AG Burgdorf,36.336175000000004
0.0095,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.7369,46.5753,Frutigen,3714,3714.0,,BE,2010-12-07,2035-12-31,Natural person,6314.21,Natural person,10.267
0.00312,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6217,46.7512,Thun,3600,3600.0,,BE,2010-12-07,2035-12-31,Natural person,1984.6,Natural person,3.227
0.3564,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.4001,47.4017,Dietikon,8953,8953.0,Silbernstrasse 9,ZH,2010-12-07,2035-12-31,Elektrizitätswerke des Kantons Zürich (EKZ),175265.66999999995,PV EKZ Dietikon - Coop Silbern,352.9722
0.0081,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.2324,46.608,Le Sentier,1347,1347.0,,VD,2010-12-07,2035-12-31,Juridical person,5281.36,Juridical person,8.65125
0.0062,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.3121,46.1899,Saclentz Nendaz,1996,1996.0,,VS,2010-12-07,2035-12-31,Natural person,5013.97,Natural person,6.794
0.0061,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5017,47.19,Lüsslingen,4574,4574.0,,SO,2010-12-08,2035-12-31,Natural person,3924.9300000000003,Natural person,6.382
0.0045,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2768,47.4056,Tägerig,5522,5522.0,,AG,2010-12-08,2035-12-31,Natural person,2164.7999999999997,Natural person,3.52
0.029,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.8181,47.3089,Härkingen,4624,4624.0,,SO,2010-12-08,2035-12-31,Natural person,16166.600000000002,Natural person,30.735
0.0056,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.9253,47.3138,Oftringen,4665,4665.0,,AG,2010-12-08,2035-12-31,Natural person,2877.5800000000004,Natural person,4.679
0.172,Renewable energy,Bioenergy,Sewage and landfill gas,,BFE,CH0,CH02,CH025,7.3698,47.3911,Soyhières,2805,2805.0,Bois-du-Treuil 4,JU,2010-12-08,2030-12-31,SEDE Syndicat d'épuration Delémont et Environs,157828.85999999996,Biogaz STEP SEDE Soyhières,735.450608
0.0636,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,10.3264,46.7346,Ftan,7551,7551.0,Vichava 8,GR,2010-12-08,2035-12-31,Dumeng und Susanna Schucany,38635.06,PV Dumeng & Susanna Schucany Ftan,77.89332499999999
0.0791,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.4522,47.4971,Steinmaur,8162,8162.0,Salenstrasse 2,ZH,2010-12-08,2035-12-31,Beat Müller,43520.659999999996,PV Beat Müller Salenhof Steinmaur,87.293025
0.0084,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5371,47.2079,Solothurn,4500,4500.0,,SO,2010-12-08,2035-12-31,Natural person,6052.83,Natural person,9.842
0.0074,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,7.8433,47.5592,Möhlin,4313,4313.0,,AG,2010-12-08,2035-12-31,Natural person,4380.65,Natural person,7.123
0.0057,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.8725,47.4694,Ormalingen,4466,4466.0,,BL,2010-12-09,2035-12-31,Juridical person,3516.57,Juridical person,5.718
0.0365,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.7408,47.4258,Illnau,8308,8308.0,Hagenstrasse 24-29,ZH,2010-12-09,2035-12-31,Alteno Solar AG,22788.449999999993,PV Alteno Solar AG Illnau - Schulhaus Hagen,41.69675
0.0132,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.584,47.3181,Küsnacht,8700,8700.0,,ZH,2010-12-09,2035-12-31,Juridical person,10246.18,Juridical person,14.513
0.0108,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.5649,46.9358,Zizers,7205,7205.0,,GR,2010-12-09,2035-12-31,Natural person,8656.62,Natural person,14.21448
0.00293,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1166,46.1679,Plan-les-Ouates,1228,1228.0,,GE,2010-12-09,2035-12-31,Natural person,1811.7999999999997,Natural person,2.946
0.0086,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3384,46.9542,Frauenkappelen,3202,3202.0,,BE,2010-12-09,2035-12-31,Natural person,5931.6900000000005,Natural person,9.645
0.00293,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1166,46.1679,Plan-les-Ouates,1228,1228.0,,GE,2010-12-09,2035-12-31,Natural person,1621.7699999999998,Natural person,2.637
0.0144,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.3959,47.1921,Grenchen,2540,2540.0,,SO,2010-12-09,2035-12-31,Natural person,9379.32,Natural person,15.897188
0.003,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.5951,47.0937,Ersigen,3423,3423.0,,BE,2010-12-09,2035-12-31,Natural person,1999.98,Natural person,2.71
0.00351,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1166,46.1679,Plan-les-Ouates,1228,1228.0,,GE,2010-12-09,2035-12-31,Natural person,1761.35,Natural person,2.864
0.072,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.4138,46.636,Donat,7433,7433.0,Pluragns Sura 92 ,GR,2010-12-10,2035-12-31,Peider Michael-Hodel,36215.20000000001,PV Peider Michael-Hodel Donat,68.33058
0.0053,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4314,47.1653,Arch,3296,3296.0,,BE,2010-12-10,2035-12-31,Natural person,3768.12,Natural person,6.127
0.0202,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.4138,46.636,Donat,7433,7433.0,,GR,2010-12-10,2035-12-31,Natural person,12958.06,Natural person,22.575
0.0512,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2903,47.5389,Endingen,5304,5304.0,Lochstrasse 8,AG,2010-12-10,2035-12-31,Verein Solar Endingen,23151.51,PV Verein Solar Endingen Endingen - Bez,54.09232499999999
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4983,46.8913,Belp,3123,3123.0,,BE,2010-12-10,2035-12-31,Natural person,1074.53,Natural person,1.456
0.0161,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.9466,47.3837,Lostorf,4654,4654.0,,SO,2010-12-10,2035-12-31,Natural person,12821.269999999999,Natural person,18.772
0.0038,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.6936,46.6254,Reichenbach,3713,3713.0,,BE,2010-12-10,2035-12-31,Natural person,2512.27,Natural person,4.085
0.00518,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.6212,47.3945,Nunningen,4208,4208.0,,SO,2010-12-10,2035-12-31,Natural person,2790.8199999999993,Natural person,4.537907000000001
0.0088,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2555,47.5021,Untersiggenthal,5417,5417.0,,AG,2010-12-10,2035-12-31,Natural person,5789.6,Natural person,9.414
0.0224,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3856,46.9873,Uettligen,3043,3043.0,,BE,2010-12-10,2035-12-31,Natural person,13486.24,Natural person,21.339
0.0414,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,10.298,46.7967,Scuol,7550,7550.0,Ravagl 267,GR,2010-12-10,2035-12-31,Barbla & Grazian Conrad-Roner,25102.33,PV Barbla & Grazian Conrad-Roner Scuol,45.97495
0.0049,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5371,47.2079,Solothurn,4500,4500.0,,SO,2010-12-10,2035-12-31,Natural person,3381.28,Natural person,5.498
0.0067,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH022,7.1719,46.8941,Gurmels,3212,3212.0,,FR,2010-12-10,2035-12-31,Natural person,4650.62,Natural person,7.562
0.0384,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.3395,46.7477,Tenna,7106,7106.0,Innerberg 11,GR,2010-12-10,2035-12-31,Alexander Messmer,27801.32,PV Alexander Messmer Tenna,44.269681
0.0024,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5498,47.4827,Ettingen,4107,4107.0,,BL,2010-12-10,2035-12-31,Natural person,755.0000000000001,Natural person,1.0229970000000002
0.0108,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.6728,47.4307,Lindau,8317,8317.0,,ZH,2010-12-10,2035-12-31,Natural person,8198.740000000002,Natural person,11.262
0.0053,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH064,8.2621,46.9208,Kägiswil,6056,6056.0,,OW,2010-12-10,2035-12-31,Natural person,3617.6900000000005,Natural person,4.932
0.0046,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0434,47.5416,Kaisten,5082,5082.0,,AG,2010-12-10,2035-12-31,Natural person,1843.68,Natural person,5.079
0.1328,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,7.1462,46.4248,Château-d'Oex,1660,1660.0,En Bettens,VD,2010-12-10,2035-12-31,Bettens solaire Château d'Oex Sàrl,93738.23000000001,PV Bettens solaire Michel & Jenny Tille Château-dOex,166.794
0.0199,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.2433,46.3014,Hermance,1248,1248.0,,GE,2010-12-10,2035-12-31,Natural person,7377.45,Natural person,10.962
0.005,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.2235,46.2123,Chamoson,1955,1955.0,,VS,2010-12-10,2035-12-31,Natural person,3198.62,Natural person,5.201
0.0098,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.1157,47.1564,Oberkirch,6208,6208.0,,LU,2010-12-12,2035-12-31,Natural person,6339.409999999999,Natural person,8.59
0.0022,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1975,46.2403,Vésenaz,1222,1222.0,,GE,2010-12-13,2035-12-31,Natural person,1425.81,Natural person,1.932
0.00215,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.7588,47.4256,Lampenberg,4432,4432.0,,BL,2010-12-13,2035-12-31,Natural person,1211.5599999999997,Natural person,1.97
0.00342,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.5147,47.2197,Langendorf,4513,4513.0,,SO,2010-12-13,2035-12-31,Natural person,1515.4000000000003,Natural person,2.4640779999999998
0.0216,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH052,8.4583,47.6965,Hallau,8215,8215.0,,SH,2010-12-14,2035-12-31,Natural person,12758.320000000002,Natural person,22.343804
0.0196,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1457,46.2022,Genève,1208,1208.0,,GE,2010-12-14,2035-12-31,Juridical person,10687.84,Juridical person,18.733
0.0297,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.768,47.3492,Langenbruck,4438,4438.0,,BL,2010-12-14,2035-12-31,Juridical person,9806.95,Juridical person,34.29
0.0076,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.1926,46.7258,Cumbel,7142,7142.0,,GR,2010-12-14,2035-12-31,Natural person,6682.83,Natural person,9.05532
0.0099,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1457,46.2022,Genève,1202,1202.0,,GE,2010-12-14,2035-12-31,Juridical person,6084.94,Juridical person,9.967
0.0143,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.2723,47.0957,Rothenburg,6023,6023.0,,LU,2010-12-14,2035-12-31,Juridical person,8680.08,Juridical person,14.712
0.012,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.1457,46.2022,Genève,1202,1202.0,,GE,2010-12-14,2035-12-31,Juridical person,8121.43,Juridical person,13.615
0.0298,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.0343,47.3195,Holziken,5043,5043.0,,AG,2010-12-14,2035-12-31,Natural person,19635.549999999992,Natural person,35.000977
0.00833,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH063,8.719,47.1948,Wollerau,8832,8832.0,,SZ,2010-12-15,2035-12-31,Natural person,4786.55,Natural person,7.783
0.01836,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.6046,46.537,Prilly,1008,1008.0,,VD,2010-12-15,2035-12-31,Juridical person,11553.06,Juridical person,19.988
0.0058,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.1598,47.471,Villnachern,5213,5213.0,,AG,2010-12-15,2035-12-31,Natural person,3297.0099999999998,Natural person,5.361
0.00576,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.7241,47.5056,Winterthur,8405,8405.0,,ZH,2010-12-15,2035-12-31,Natural person,3587.2899999999995,Natural person,5.833038
0.0926,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.916,46.3748,Rennaz,1847,1847.0,Les Six-Poses ,VD,2010-12-15,2035-12-31,Yves Fontannaz,54763.53,PV Yves Fontannaz Rennaz - 329 Fontannaz NL,104.3115
0.0263,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,10.3264,46.7346,Ardez,7546,7546.0,,GR,2010-12-15,2035-12-31,Natural person,18505.8,Natural person,32.81175
0.0053,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.2184,47.479,Windisch,5210,5210.0,,AG,2010-12-15,2035-12-31,Natural person,3482.1200000000003,Natural person,5.662
0.0078,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH031,7.6468,47.5788,Riehen,4125,4125.0,,BS,2010-12-15,2035-12-31,Juridical person,4080.11,Juridical person,6.634333000000001
0.311,Renewable energy,Bioenergy,Sewage and landfill gas,,BFE,CH0,CH02,CH021,7.3066,47.0741,Lyss,3250,3250.0,Industriering 28,BE,2010-12-15,2030-12-31,Gemeindeverband ARA-Region Lyss-Limpachtal,291464.87999999995,B BHKW Gemeindeverband ARA-Region Lyss-Limpachtal Lyss,1555.7112
0.0081,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.2002,47.3743,Degersheim,9113,9113.0,,SG,2010-12-15,2035-12-31,Natural person,5138.33,Natural person,8.355
0.0075,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.2303,47.1139,Ipsach,2563,2563.0,,BE,2010-12-15,2035-12-31,Natural person,4399.2,Natural person,5.961
0.0069,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH056,9.5329,46.8499,Chur,7000,7000.0,,GR,2010-12-15,2035-12-31,Natural person,4606.340000000001,Natural person,7.49
0.0027,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH012,7.1528,46.0775,Sembrancher,1933,1933.0,,VS,2010-12-15,2035-12-31,Natural person,812.5,Natural person,1.1009369999999998
0.0032,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH055,9.4746,47.0989,Oberschan,9479,9479.0,,SG,2010-12-15,2035-12-31,Natural person,2350.8,Natural person,3.8224309999999995
0.00323,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.3856,46.9873,Uettligen,3043,3043.0,,BE,2010-12-15,2035-12-31,Natural person,1758.91,Natural person,2.86
0.0078,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH031,7.6468,47.5788,Riehen,4125,4125.0,,BS,2010-12-15,2035-12-31,Juridical person,4100.5199999999995,Juridical person,6.667531000000001
0.009,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH011,6.7411,46.5826,Montpreveyres,1081,1081.0,,VD,2010-12-15,2035-12-31,Natural person,7460.45,Natural person,10.109
0.011,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.8242,47.3633,Hittnau,8335,8335.0,,ZH,2010-12-16,2035-12-31,Juridical person,7512.919999999999,Juridical person,12.449
0.1273,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH033,8.3862,47.3892,Bergdietikon,8962,8962.0,Langenmoos 137,AG,2010-12-16,2035-12-31,Daniel Huber,66436.79,PV Daniel Huber Remise Langenmoos Bergdietikon,149.789514
0.0078,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH064,8.2751,46.9012,Kerns,6064,6064.0,,OW,2010-12-16,2035-12-31,Natural person,5194.78,Natural person,7.039
0.0031,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH07,CH070,8.8618,46.4324,Anzonico,6748,6748.0,,TI,2010-12-16,2035-12-31,Natural person,2103.2999999999997,Natural person,3.42
0.0135,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH06,CH061,8.2042,47.0999,Neuenkirch,6206,6206.0,,LU,2010-12-16,2035-12-31,Natural person,10387.529999999999,Natural person,14.755
0.27261,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.1348,47.1168,Lamboing,2516,2516.0,Twannberg 13,BE,2010-12-16,2035-12-31,Andreas Ballif,113036.75999999998,PV Andreas Ballif Lamboing - Lechenhof,341.402
0.0058,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH04,CH040,8.8892,47.5204,Hagenbuch,8523,8523.0,,ZH,2010-12-16,2035-12-31,Natural person,4109.19,Natural person,5.568
0.0084,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH021,7.4508,46.9299,Wabern,3084,3084.0,,BE,2010-12-16,2035-12-31,Natural person,5051.63,Natural person,6.845
0.0198,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH01,CH013,6.085,46.217,Vernier,1214,1214.0,,GE,2010-12-16,2035-12-31,Juridical person,11679.880000000003,Juridical person,20.505624999999995
0.0091,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH05,CH057,8.9638,47.4636,Wallenwil,8360,8360.0,,TG,2010-12-16,2035-12-31,Natural person,5650.0,Natural person,9.187
0.0055,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5258,47.5078,Biel-Benken,4105,4105.0,,BL,2010-12-16,2035-12-31,Natural person,3868.81,Natural person,6.290720000000001
0.0352,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH02,CH023,7.8851,47.3928,Wisen,4634,4634.0,Sennhof 44,SO,2010-12-16,2035-12-31,Erich Bloch,23448.680000000004,PV Erich Bloch Wisen Scheunendach,36.869
0.0055,Renewable energy,Solar,,Photovoltaics,BFE,CH0,CH03,CH032,7.5258,47.5078,Biel-Benken,4105,4105.0,,BL,2010-12-16,2035-12-31,Natural person,3866.9799999999996,Natural person,6.2877670000000006
